#SampleID,Var
SRR062945,5.0
SRR062946,4.4
SRR062947,4.0
SRR062948,5.0
SRR062949,4.0
SRR062950,4.4
SRR062951,5.5
SRR062952,4.7
SRR062953,4.0
SRR062954,4.0
SRR062955,4.0
SRR062956,4.0
SRR062957,4.7
SRR062959,4.0
SRR062960,4.4
SRR062961,5.0
SRR062962,5.0
SRR062963,4.0
SRR062964,5.5
SRR062965,4.0
SRR062966,4.4
SRR062967,4.7
SRR062968,4.0
SRR062969,4.0
SRR062970,4.0
SRR062971,5.0
SRR062972,4.0
SRR062973,5.5
SRR062974,4.0
SRR062975,5.3
SRR062976,4.0
SRR062977,5.8
SRR062978,4.0
SRR062979,5.3
SRR062980,5.5
SRR062981,5.5
SRR062982,4.7
SRR062983,5.3
SRR062984,4.0
SRR062985,5.5
SRR062986,5.0
SRR062987,4.7
SRR062988,4.7
SRR062989,4.0
SRR062990,4.0
SRR062992,4.0
SRR062993,4.0
SRR062994,4.4
SRR062995,5.0
SRR062996,4.0
SRR062997,4.7
SRR062998,4.0
SRR062999,5.5
SRR063000,5.5
SRR063001,5.0
SRR063002,5.0
SRR063003,5.8
SRR063004,5.0
SRR063005,5.0
SRR063006,4.4
SRR063007,4.0
SRR063008,4.0
SRR063009,4.0
SRR063010,5.8
SRR063011,4.0
SRR063012,4.4
SRR063013,4.0
SRR063014,4.4
SRR063015,4.0
SRR063016,5.5
SRR063017,4.7
SRR063018,5.8
SRR063019,4.4
SRR063020,5.5
SRR063021,5.0
SRR063022,5.5
SRR063023,5.0
SRR063024,4.4
SRR063025,5.0
SRR063026,4.7
SRR063027,4.7
SRR063028,4.0
SRR063029,4.0
SRR063030,4.0
SRR063031,4.0
SRR063032,4.0
SRR063033,5.8
SRR063034,4.0
SRR063035,5.0
SRR063036,4.0
SRR063037,4.0
SRR063038,5.0
SRR063039,4.0
SRR063040,4.4
SRR063041,5.8
SRR063042,5.8
SRR063043,4.4
SRR063044,4.0
SRR063045,4.7
SRR063046,4.4
SRR063047,4.0
SRR063048,4.4
SRR063049,4.4
SRR063050,4.4
SRR063051,4.4
SRR063052,4.4
SRR063053,4.7
SRR063054,5.5
SRR063055,4.7
SRR063056,5.8
SRR063058,4.0
SRR063059,4.0
SRR063060,4.0
SRR063061,5.0
SRR063062,4.4
SRR063063,7.0
SRR063064,4.4
SRR063065,4.4
SRR063066,4.4
SRR063067,4.4
